,A_total,B_total,E_total,F_total,D_total
A_total,1.0,0.9165494074488075,0.8242508358809119,-0.36073718230199425,0.9917327706327845
B_total,0.9165494074488075,1.0,0.7735788082892547,-0.2569329814397297,0.9445102146946922
E_total,0.8242508358809119,0.7735788082892547,1.0,-0.2282980047807848,0.8162220587886203
F_total,-0.36073718230199425,-0.2569329814397297,-0.2282980047807848,1.0,-0.3567915618871428
D_total,0.9917327706327845,0.9445102146946922,0.8162220587886203,-0.3567915618871428,1.0
